<latex> Definition (13.1.1): The Distance Formula in Three Dimensions </latex>	<latex> $d(P_{1}, P_{2}) = \sqrt{x_{2} - x_{1})^{2} + (y_{2} - y_{1})^{2} + (z_{2} - z_{1})^{2}}$ </latex>
<latex> Definition (13.1.2): A Sphere of Radius $r$ </latex>	<latex> $(x - a)^{2} + (y-b)^{2} + (z-c)^{2} = r^{2}$ with the center at $P_{0} = (a, b, c)$ </latex>
<latex> Definition (13.1.3): Equation of a Sphere with Center $P_{0} = (0, 0, 0)$ </latex>	<latex> $x^{2} + y^{2} + z^{2} = r^{2}$ </latex>
<latex> Theorem (13.1.4): Line Between Two Points </latex>	<latex> The line $l$ that passes through the points $A(a_{2}, a_{2}, a_{3})$ and $B(b_{2}, b_{2}, b_{3})$ consistsof all points $P(x, y, z)$ with$x = a_{1} + t(b_{1} - a_{1})$, $y = a_{2} + t(b_{2} - a_{2})$, $x = a_{3} + t(b_{3} - a_{3})$ and$t$ ranging over the set of real numbers. </latex>
<latex> Theorem (13.1.5): Line Between Two Points on $t \in (0, 1)$ </latex>	<latex> The line segment $\overline{AB}$, as $t$ ranges from $0$ to $1$, the points $P(x, y, z)$ with$\\$ $x = a_{1} + t(b_{1} - a_{1})$, $y = a_{2} + t(b_{2} - a_{2})$, $x = a_{3} + t(b_{3} - a_{3})$$\\$ trace out the line segment $\overline{AB}$ </latex>
<latex> Theorem (13.1.6): The Midpoint Formula </latex>	<latex> The midpoint of $\overline{AB}$ has coordinates$\\$ $x = \frac{1}{2}(a_{1} + b_{1})$,  $y = \frac{1}{2}(a_{2} + b_{2})$, $z = \frac{1}{2}(a_{3} + b_{3})$ </latex>
<latex> Definition (15.4.1): Partial Derivatives (Two Variables) </latex>	<latex> Let $f$ be a function of two variables x, y. The partial derivatives of $f$ with respect to $x$ and with respect to $y$ are the functions $$f_{x}(x, y) = \lim_{h\to0}\frac{f(x+h, y) - f(x,y)}{h}$$ $$f_{y}(x, y) = \lim_{h\to0}\frac{f(x, y+h) - f(x,y)}{h}$$ provided that these limits exist. </latex>
<latex> Definition (15.4.2): Partial Derivatives (Three Variables) </latex>	<latex> Let $f$ be a function of two variables x, y, z. The partial derivatives of $f$ with respect to $x$, $y$, and $y$ are the functions $$f_{x}(x, y, z) = \lim_{h\to0}\frac{f(x+h, y, z) - f(x,y, z)}{h}$$ $$f_{y}(x, y, z) = \lim_{h\to0}\frac{f(x, y+h, z) - f(x,y, z)}{h}$$ $$f_{z}(x, y, z) = \lim_{h\to0}\frac{f(x, y, z+h) - f(x,y, z)}{h}$$  provided that these limits exist. </latex>
<latex> Definition (15.5.1): Neighborhood of a Point </latex>	<latex> A neighborhood of a point $x_{0}$ is a set of the form${\overrightarrow{x}: ||\overrightarrow{x} - \overrightarrow{x_{0}}|| < \delta}$where $\delta$ is some number greater than zero. </latex>
<latex> Definition (15.5.2): The Interior of a Set </latex>	<latex> A point $\overline{x_{0}}$ is said to be an interior point of the set $S$ if the set $S$ contains someneighborhood of $\overline{x_{0}}$. The set of all interior points of $S$ is called the interior of $S$. </latex>
<latex> Definition (15.5.3): Boundary of a Set </latex>	<latex> A point $\overrightarrow{x_{0}}$ is said to be a boundary point of the set $S$ if every neighborhoodof $\overrightarrow{x_{0}}$ contains points that are in $S$ and points that are not in $S$. The set of allboundary points of $S$ is called the boundary of $S$. </latex>
<latex> Definition (15.5.4): Open Set </latex>	<latex> A set $S$ is said to be open if it contains a neighborhood of each of its points. </latex>
<latex> Definition (15.5.5): Closed Set </latex>	<latex> A set $S$ is said to be closed if it contains its boundary. </latex>
<latex> Definition (15.6.1): Limit of a Function of Several Veriables </latex>	<latex> Let $f$ be a function defined at least on some deleted neighborhood of $\overrightarrow{x_{0}}$.$$\lim_{\overrightarrow{x}\to\overrightarrow{x_{0}}} f(\overrightarrow{x}) = L$$provided that for each $\epsilon > 0$ there exists a $\delta > 0$ such that$$ \text{if } 0 < ||\overrightarrow{x} - \overrightarrow{x_{0}}|| < \delta \text{, then } |f(\overrightarrow{x}) - L| < \epsilon \text{.}$$ </latex>
<latex> Definition (15.6.2): Continuity </latex>	<latex> $$\lim_{\overrightarrow{x} \to \overrightarrow {x_{0}}} f(\overrightarrow{x})=\overrightarrow{x_{0}}$$ </latex>
<latex> Definition (15.6.3): Continuity (in terms of $h \to 0$) </latex>	<latex> $$\lim_{\overrightarrow{h} \to \overrightarrow {0}} f(\overrightarrow{x} + \overrightarrow{h})=\overrightarrow{x_{0}}$$ </latex>
<latex> Theorem (15.6.4): The Continuity of Composite Functions </latex>	<latex> If $g$ is continuous at the point $x_{0}$ and $f$ is continuous at the number $g(x_{0})$, thenthe composition $f \circ g$ is continuous at the point $x_{0}$. </latex>
<latex> Theorem (15.6.5): Clairaut's Theorem (Symmetry of Second Partial Derivitives) </latex>	<latex> $$\frac{\partial^{2} f }{\partial y \partial x} = \frac{\partial^{2} f}{\partial x \partial y}$$ on every open set on which $f$ and the partials$$ \frac{\partial f}{\partial x} \text{,} \frac{\partial f}{\partial y} \text{,} \frac{\partial^{2} f}{\partial y \partial x} \text{,} \frac{\partial^{2} f}{\partial x \partial y}$$are continuous. </latex>
<latex> Definition (16.1.1): Differentiability of Vector Equations </latex>	<latex> We say that $f$ is differentiable at $x$ provided that there exists a vector $\overrightarrow{y}$ suchthat $$f(\overrightarrow{x} + \overrightarrow{h}) - f(\overrightarrow{x}) = \overrightarrow{y} \cdot \overrightarrow{h} + o(\overrightarrow{h})$$. </latex>
<latex> Definition (16.1.2): Gradient </latex>	<latex> Let $f$ be differentiable at $\overrightarrow{x}$. The gradient of $f$ at $x$ is the unique vector $\bigtriangledown f(x)$such that$$ f(\overrightarrow{x} + \overrightarrow{h}) - f(\overrightarrow{x}) = \bigtriangledown f(\overrightarrow{x}) \cdot \overrightarrow{h} + o(\overrightarrow{h})$$.  </latex>
<latex> Theorem (16.1.3): Formula for the Gradient </latex>	<latex> If $f$ has continuous first partials in a neighborhood of $x$, then $f$ is differentiable at $x$ and$$ \bigtriangledown f(\overrightarrow{x}) = \frac{\partial f}{\partial x}(\overrightarrow{x}) \overrightarrow{i} + \frac{\partial f}{\partial y}(\overrightarrow{x}) \overrightarrow{j} + \frac{\partial f}{\partial z}(\overrightarrow{x}) \overrightarrow{k}$$And for two variables: $$ \bigtriangledown f(\overrightarrow{x}) = \frac{\partial f}{\partial x}(\overrightarrow{x}) \overrightarrow{i} + \frac{\partial f}{\partial y}(\overrightarrow{x}) \overrightarrow{j} +$$ </latex>
<latex> Theorem (16.1.6) Differentiability Implies Continuity </latex>	<latex> If $f$ is differentiable at $x$, then $f$ is continuous at $\overrightarrow{x}$. </latex>
<latex> Theorem (16.1.4): Gradient of $r$, where $r = ||\overrightarrrow{r}||$ </latex>	<latex> If $r = ||\overrightarrrow{r}||$ and $\overrightarrrow{r} = x\overrightarrow{i} + y\overrightarrow{j} + z\overrightarrow{k}$, then if $r \neq 0$, $$\bigtriangledown r = \frac{\overrightarrow{r}}{r} \text{ and } \bigtriangledown (\frac{1}{r}) = - \frac{\overrightarrow{r}}{r^{3}}$$ </latex>
<latex> Theorem (16.1.5): Gradient of $r^{n}$, where $r = ||\overrightarrrow{r}||$ </latex>	<latex> $\bigtriangledown r^{n} = nr^{n-2}\overrightarrow{r}$ </latex>
<latex> Theorem (16.2.1): Properties of Gradients of Multiple Functions </latex>	<latex> $$\bigtriangledown [f(\overrightarrow{x}) + g(\overrightarrow{x})] = \bigtriangledown f(\overrightarrow{x}) + \bigtriangledown  g(\overrightarrow{x})$$$$\bigtriangledown [\alpha f(\overrightarrow{x})] = \alpha \bigtriangledown f(\overrightarrow{x})$$$$\bigtriangledown [f(\overrightarrow{x}) g(\overrightarrow{x})] = f(\overrightarrow{x})\bigtriangledown g(\overrightarrow{x}) + g(\overrightarrow{x})\bigtriangledown  f(\overrightarrow{x})$$ </latex>
<latex> Definition (16.2.2): Directional Derivative </latex>	<latex> For each unit vector $\overrightarrow{u}$, the limit$$f'_{u}(\overrightarrow{x}) = \lim_{h \to 0} \frac{f(\overrightarrow{x} + h \overrightarrow{u}) - f(\overrightarrow{x})}{h}$$if it exists, is called the directional derivative of $f$ at $\overrightarrow{x}$ in the direction $f(\overrightarrow{u}$. </latex>
<latex> Theorem (16.2.3): Partial Derivatives are Directional Derivatives </latex>	<latex> $$\frac{\partial f}{\partial x}(\overrightarrow{x}) = f'_{\overrightarrow{i}}(\overrightarrow{x}) \text{, } \frac{\partial f}{\partial y}(\overrightarrow{x}) = f'_{\overrightarrow{j}}(\overrightarrow{x}) \text{, } \frac{\partial f}{\partial z}(\overrightarrow{x}) = f'_{\overrightarrow{k}}(\overrightarrow{x})$$ </latex>
<latex> Theorem (16.2.4): The Directional Derivitive in Relation to the Gradient </latex>	<latex> If $f$ is differentiable at $\overrightarrow{x}$, then $f$ has a directional derivative at $\overrightarrow{x}$ in everydirection, and for each unit vector $\overrightarrow{u}$$$f'_{\overrightarrow{u}}(\overrightarrow{x}) = \bigtriangledown f(\overrightarrow{x}) \cdot \overrightarrow{u}$$ </latex>
<latex> Theorem (16.2.5): Existence of the Gradient if Differentiable </latex>	<latex> If $f$ is differentiable at $\overrightarrow{x}$, then all the first partial derivitives of $f$ exist at $\overrightarrow{x}$ and$$ \bigtriangledown f(\overrightarrow{x}) = \frac{\partial f}{\partial x}(\overrightarrow{x}) \overrightarrow{i} + \frac{\partial f}{\partial y}(\overrightarrow{x}) \overrightarrow{j} + \frac{\partial f}{\partial z}(\overrightarrow{x}) \overrightarrow{k}$$And for two variables: $$ \bigtriangledown f(\overrightarrow{x}) = \frac{\partial f}{\partial x}(\overrightarrow{x}) \overrightarrow{i} + \frac{\partial f}{\partial y}(\overrightarrow{x}) \overrightarrow{j} +$$ </latex>
<latex> Theorem (16.2.6): The Directional Derivitive in Relation to the Compliment of the Gradient onto the Unit Vector </latex>	<latex> $$f'_{\overrightarrow{u}}(\overrightarrow{x}) = comp_{\overrightarrow{u}} \bigtriangledown f(\overrightarrow{x})$$ </latex>
<latex> Theorem (16.2.7): Implication of the Gradient on the Rate of Change </latex>	<latex> from each point $\overrightarrow{x}$ of the domain, a differentiable function $f$ increasesmost rapidly in the direction of the gradient (the rate of change at $\overrightarrow{x}$being $||\bigtriangledown f(\overrightarrow{x})||$) the function decreases most rapidly in the oppositedirection (the rate of change at $\overrightarrow{x}$ being $-||\bigtriangledown f(\overrightarrow{x})||$). </latex>
<latex> Theorem (16.3.1): The Mean Value Theorem (Several Variables) </latex>	<latex> If $f$ is differentiable at each point of the line segment $\overline{ab}$, then there exists on that line segment a point $\overrightarrow{c}$ between $\overrightarrow{a}$ and $\overrightarrow{b}$ such that$$f(\overrightarrow{b}) - f(\overrightarrow{a}) = \bigtriangledown f(\overrightarrow{c}) \cdot (\overrightarrow{b} - \overrightarrow{a})$$ </latex>
<latex> Theorem (16.3.2): Constant Functions of Several Variables </latex>	<latex> Let $U$ be an open connected set and let $f$ be a differentiable function on $U$.If $\bigtriangledown f(x) = \overrightarrow{0}$ for all $\overrightarrow{x}$ in $U$, then $f$ is constant on $U$. </latex>
<latex> Theorem (16.3.3): Functions of Several Variables with Equivalent Gradients </latex>	<latex> Let $U$ be an open connected set and let $f$ and $g$ be functions differentiableon $U$.If $\bigtriangledown f(\overrightarrow{x}) = \bigtriangledown g(\overrightarrow{x})$ for all $x$ in $U$, then $f$ and $g$ differ by a constant on $U$. </latex>
